City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,ribas do rio pardo,-20.4431,-53.7592,23.9,84,97,1.58,BR,1681686664
241,anadyr,64.75,177.4833,-13.72,84,0,2.0,RU,1681686332
242,mananara,-16.1667,49.7667,23.32,92,70,2.14,MG,1681686373
243,tupelo,34.2576,-88.7034,18.9,54,6,5.8,US,1681686022
244,glendive,47.1053,-104.7125,16.79,21,0,5.14,US,1681686667
245,goderich,43.7501,-81.7165,12.73,98,89,6.73,CA,1681686668
246,mortka,59.3322,66.0214,-9.97,57,66,4.33,RU,1681686668
247,santa isabel do rio negro,-0.4139,-65.0192,22.72,99,100,0.85,BR,1681686535
248,kahului,20.8947,-156.47,29.01,51,40,5.66,US,1681686517
249,vardo,70.3705,31.1107,-0.01,59,70,3.09,NO,1681686670
250,abu samrah,35.3029,37.1841,18.27,43,82,0.29,SY,1681686671
251,sechura,-5.5569,-80.8222,27.65,72,95,4.79,PE,1681686671
252,kamenka,51.3223,42.7678,4.79,52,48,1.96,RU,1681686497
253,merzifon,40.8733,35.4631,7.7,93,75,1.54,TR,1681686672
254,bilma,18.6853,12.9164,29.58,10,100,3.47,NE,1681686672
255,namibe,-15.1961,12.1522,24.42,76,12,1.35,AO,1681686320
256,lorengau,-2.0226,147.2712,26.5,83,99,2.87,PG,1681686337
257,viedma,-40.8135,-62.9967,14.94,33,83,4.07,AR,1681686674
258,tecolutla,20.4833,-97.0167,25.92,82,23,6.81,MX,1681686674
259,harper,4.375,-7.7169,27.18,84,67,3.04,LR,1681686675
260,marakkanam,12.2,79.95,26.03,76,63,4.17,IN,1681686676
261,minyar,55.0709,57.5485,-1.88,82,4,1.06,RU,1681686676
262,ibra,22.6906,58.5334,27.16,27,2,0.61,OM,1681686677
263,klaksvik,62.2266,-6.589,8.51,95,97,7.78,FO,1681686677
264,mount isa,-20.7333,139.5,16.87,48,0,6.69,AU,1681686650
265,sabha,27.0377,14.4283,22.63,17,68,0.37,LY,1681686678
266,aykhal,66.0,111.5,-6.76,97,100,2.42,RU,1681686298
267,lagoa,39.05,-27.9833,15.0,67,12,7.65,PT,1681686679
268,catuday,16.2923,119.8062,26.49,77,43,2.08,PH,1681686679
269,los llanos de aridane,28.6585,-17.9182,16.86,86,40,7.2,ES,1681686524
270,hargeysa,9.56,44.065,23.71,58,62,3.15,SO,1681686681
271,yeppoon,-23.1333,150.7333,24.88,69,97,3.27,AU,1681686476
272,touros,-5.1989,-35.4608,26.21,87,100,4.54,BR,1681686405
273,sobolevo,54.4299,31.8996,5.47,86,100,2.28,RU,1681686683
274,coahuayana,18.7333,-103.6833,31.18,50,0,3.33,MX,1681686684
275,naryan-mar,67.6713,53.087,-8.06,96,94,2.4,RU,1681686684
276,ilulissat,69.2167,-51.1,-3.99,86,100,3.09,GL,1681686334
277,laela,-8.5667,32.05,15.34,96,72,2.07,TZ,1681686685
278,kavieng,-2.5744,150.7967,28.07,78,92,4.13,PG,1681686382
279,khandagayty,50.7333,92.05,-4.52,68,74,0.67,RU,1681686686
280,mackay,-21.15,149.2,25.93,64,62,4.51,AU,1681686687
281,beitbridge,-22.2167,30.0,16.85,76,0,1.64,ZW,1681686688
282,ambon,-3.6954,128.1814,26.08,83,20,2.06,ID,1681686446
283,talcahuano,-36.7167,-73.1167,12.82,62,0,6.69,CL,1681686688
284,calape,9.8922,123.8748,27.8,74,32,0.95,PH,1681686689
285,ancud,-41.8697,-73.8203,9.57,77,94,2.45,CL,1681686467
286,sitrah,26.1547,50.6206,24.97,61,0,2.06,BH,1681686689
287,mayor pablo lagerenza,-19.9309,-60.7718,22.38,88,91,2.31,PY,1681686690
288,sur,22.5667,59.5289,27.29,60,0,1.05,OM,1681686408
289,camopi,3.1655,-52.3158,23.02,99,99,0.97,GF,1681686691
290,kolo,52.2002,18.6387,6.34,91,57,3.3,PL,1681686693
291,gvardeysk,54.6477,21.0651,6.03,96,100,2.04,RU,1681686693
292,lata,40.1629,-8.3327,14.49,63,7,1.74,PT,1681686351
293,los lunas,34.8062,-106.7334,24.25,10,0,0.45,US,1681686474
294,sao jose do rio preto,-20.8197,-49.3794,22.75,75,7,1.33,BR,1681686695
295,souillac,-20.5167,57.5167,23.21,94,40,2.06,MU,1681686696
296,acajutla,13.5928,-89.8275,29.51,64,82,2.85,SV,1681686372
297,santa isabel,-23.3156,-46.2214,21.61,97,14,1.11,BR,1681686527
298,quatre cocos,-20.2078,57.7625,23.94,83,39,2.54,MU,1681686697
299,mahebourg,-20.4081,57.7,24.03,94,40,2.06,MU,1681686474
300,chavakkad,10.5333,76.05,26.68,84,2,1.44,IN,1681686698
301,clinton,42.587,-82.9199,12.18,77,100,8.75,US,1681686699
302,alofi,-19.0595,-169.9187,25.73,73,100,8.88,NU,1681686699
303,santa cruz,-17.8,-63.1667,23.7,88,40,2.06,BO,1681686461
304,kavaratti,10.5669,72.642,28.37,75,3,2.71,IN,1681686342
305,ponta do sol,32.6667,-17.1,19.45,76,60,1.78,PT,1681686700
306,amravati,20.9333,77.75,30.32,26,10,2.25,IN,1681686438
307,quesnel,52.9999,-122.5029,11.41,68,100,6.32,CA,1681686641
